file,kAngle,bAngle,kScore,bScore,oScore
women53kg_0001.mp4,82.7400232514665,4.0863672906762885,1.7740023251466503,9.863787756977457,4.200937954695893
women53kg_0002.mp4,76.8565967373707,1.6668856945969892,1.185659673737069,9.944437143513433,3.813292914669978
men56kg_0001.mp4,39.36176494916023,1.5667298691555933,-2.5638235050839775,9.947775671028147,1.1896562477496597
women53kg_0004.mp4,51.87911322563109,4.089707107634167,-1.3120886774368916,9.863676429745528,2.0406408547178345
women48kg_0003.mp4,103.65097816298987,5.012027099768444,3.865097816298987,9.832932430007718,5.655448200411607
women75kg_0001.mp4,65.7572562814053,1.3172279640015172,0.07572562814053008,9.95609240119995,3.039835660058356
men85kg_0004.mp4,96.98043591837285,2.5562886385772807,3.198043591837285,9.914790378714091,5.213067627900327
men85kg_0003.mp4,135.83319608665178,2.9939509765654524,7.083319608665178,9.900201634114485,7.92838421629997
women58kg_0002.mp4,83.50878778162131,1.5226657789475166,1.85087877816213,9.949244474035083,4.280388486924016
men85kg_0001.mp4,65.36772380859342,3.038169052870101,0.0367723808593432,9.898727698237664,2.9953589760728394
women48kg_0004.mp4,101.85641823329559,3.485731266199282,3.6856418233295587,9.883808957793358,5.545091963668699
men105kg+_0001.mp4,86.57324794752056,3.971830197110259,2.1573247947520553,9.867605660096325,4.470409054355336
men56kg_0003.mp4,112.8305546602431,2.2576210285496954,4.78305546602431,9.92474596571501,6.32556261593152
men69kg_0003.mp4,75.91572938871249,2.579504466450061,1.0915729388712485,9.914016517784997,3.7383060125453733
men94kg_0001.mp4,43.12439085502417,1.4723344591777503,-2.1875609144975847,9.950922184694075,1.4539840152599133
women48kg_0002.mp4,92.4891344540456,2.01022852346019,2.7489134454045594,9.932992382551326,4.904137126548589
