file,kAngle,bAngle,larmAngle,rarmAngle,llegAngle,rlegAngle,legScore,armScore,kScore,bScore,oScore
women53kg_0001.mp4,82.7400232514665,4.722024424781489,167.75121242547462,171.43951041645357,167.94006066999995,161.09826032449408,6.903832099449403,7.919072284192819,9.92599767485335,7.638987787609255,8.736985612073674
women53kg_0002.mp4,76.8565967373707,1.911362263137881,169.82052215449295,168.37726142910185,149.15126876603438,154.92407730260945,4.407534606864383,7.81977835835948,9.48565967373707,9.04431886843106,8.67885679392024
men56kg_0001.mp4,39.36176494916023,1.9989312123709293,169.4431499781577,168.28617925487245,148.50506168061406,153.17607257658224,4.16811342571963,7.772932923303014,5.736176494916023,9.000534393814535,6.762353200504637
women53kg_0004.mp4,51.87911322563109,4.447929628010883,168.1680145170241,172.57068480503057,177.5148223442495,175.8463145257045,9.3361136869954,8.073869932205465,6.987911322563109,7.776035185994559,7.567764579000008
women48kg_0003.mp4,103.65097816298987,5.847364949729851,164.00374915428299,166.80560086153082,174.36396772906875,176.66983099971827,9.103379872878701,7.080935001581381,7.834902183701013,7.0763175251350745,7.658777836837037
women75kg_0001.mp4,65.7572562814053,1.5766819569109067,172.05918423317692,169.29622088352718,159.6017587015311,154.61592167233425,5.421768037386537,8.13554051167041,8.37572562814053,9.211659021544547,8.307091375439324
men85kg_0004.mp4,96.98043591837285,2.7153937405634183,177.24948657693855,165.30203831345602,176.66294090351028,176.6503552509118,9.331329615442206,8.255152489039457,8.501956408162716,8.642303129718291,8.602317353445011
men105kg_0001.mp4,86.57324794752056,4.403998249645572,175.59234466003215,173.5678107804729,177.1199178721907,168.27616610732298,8.539608397951369,8.916015544050506,9.542675205247944,7.798000875177214,8.856300259377324
men85kg_0003.mp4,135.83319608665178,3.308384184149952,177.47190747873668,177.35383120497346,172.98669475264452,166.88225767096603,7.986895242361055,9.482573868371015,4.616680391334822,8.345807907925025,6.559029479118126
women58kg_0002.mp4,83.50878778162131,1.965301179804353,160.53023793843374,161.4221251624676,173.68820673514762,174.5297726884781,8.82179794236257,6.195236310090135,9.84912122183787,9.017349410097824,9.131468859193552
men85kg_0001.mp4,65.36772380859342,3.2139308989039086,173.658635482916,160.37277270815733,145.3330668294198,152.92208155438556,3.8255148383805366,7.403140819107333,8.336772380859342,8.393034550548046,7.809162121342874
women48kg_0004.mp4,101.85641823329559,3.879599205882817,170.69232659897523,176.58197643446962,175.87756371251504,178.15545082914056,9.403301454165561,8.727430303344486,8.014358176670441,8.060200397058592,8.238312383203803
men56kg_0003.mp4,112.8305546602431,2.6125928883845533,160.05135170146792,153.59125573112877,168.7961300754444,164.0254683409854,7.282159841642982,5.364260743259669,6.91694453397569,8.693703555807723,7.331225392220427
men69kg_0003.mp4,75.91572938871249,3.1316089311990214,177.07096402151038,170.95593150973144,173.51083742306741,169.5871106108405,8.309794803390792,8.802689553124182,9.39157293887125,8.434195534400489,8.93729356540727
men94kg_0001.mp4,43.12439085502417,2.6841789755778986,172.7780546897301,166.1564375790113,159.9470505374599,157.16202535143478,5.710907588889467,7.893449226874142,6.112439085502417,8.65791051221105,7.0140283779908845
women48kg_0002.mp4,92.4891344540456,2.589090140163386,177.96596705989566,173.71131351757873,170.3847708635853,171.10232398485337,8.148709484843867,9.16772805774744,8.95108655459544,8.705454929918307,8.818823510532344
